OBJECTID,REF_NUMBER,DATE_,TIME,SEVERITY,SEVERITY_DESCRIPTION,ACCIDENT_TYPE,ACCIDENT_DESCRIPTION,VEHICLES,CASUALTIES,PEDESTRIAN,CYCLES,MCYCLES,CHILDREN,OAPS,ACCIDENT_DETAILS,X,Y,RENDER
1,171701142,2017/02/02 00:00:00+00,720,3,Slight,LC,Loss of Control,2,2,0,1,1,0,0,"V1 (CAS1) (MCYCLE) TRAV SE ON MULLER RD. V2 (CAS2) (CYCLIST) (WAITING TO CROSS C/WAY ON CROSSING) ATL HAS CHANGED TO RED, V1 HAS COME TO A STOP, D1 HAS LOST CONTROL, SKIDDED AND C/WITH V2. ROAD SURFACE WET AT THE TIME. (CF ADDED FOR VALIDATION)",360035,175918,CYC
2,171701145,2017/02/02 00:00:00+00,1803,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,V1 TRAV S ON REDCLIFF HILL AT J/WITH BEDMINSTER BRIDGE R/ABOUT. V2 (CAS1) (CYCLE) TRAV E ON BEDMINSTER BRIDGE R/ABOUT. V1 HAS PULLED OUT ANS C/WITH PASSING V2. R2 HAS BECOME UNSEATED.,359039,172053,CYC
3,171701159,2017/02/03 00:00:00+00,2021,3,Slight,J2,Turning Movement from minor road,2,1,0,1,0,0,0,"V2 (CAS1) (CYCLE) TRAV NE ON FISHPONDS ROAD AT J/WITH BRENTRY RD. V1 TRAV S (REVERSING) ON BRENTRY RD, V2 HAS MOVED BACKWARDS ONTO FISHPONDS RD. R2 HAS BEEN STARTLED AND BECOME UNSEATED. V1 HAS MADE OFF, NO CONTACT BETWEEN VEHICLES",362596,175377,CYC
4,171701160,2017/02/03 00:00:00+00,1543,3,Slight,NT,Nose to Tail,2,2,0,0,0,0,0,"V1 (CAS1 CAS2) (POLICE VEHICLE ON BLUE LIGHT RUN) TRAV SE ON PORTWAY, V1 HAS BEEN UNDERTAKING TRAFFIC IN BSLN. V2 (HGV) TRAV SE ON PORTWAY, V1 HAS MOVED RIGHT AND SLOWED WITH FLOW OF TRAFIC, V2 HAS C/WITH THE REAR OF SLOWING V1.",355175,175088,CARS
5,171701174,2017/01/17 00:00:00+00,624,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 TRAV N ON TEMPLE WAY. CAS1 (INTOXICATED) HAS STUMBLED OFF OF THE PAVEMNT INTO THE PATH OF PASSING V1. V1 HAS STRUCK CAS1 2HO HAS BEEN KNOCKED TO THE GROUND CAUSING MINOR INJURIES,359476,172742,A
6,171701180,2017/02/04 00:00:00+00,1730,3,Slight,A,Adult pedestrian,1,1,1,0,1,0,0,"V1 (MCYCLE) TRAV E ON HARTCLIFFE RD. CAS1 HAS BEEN STOOD ON PAVEMENT. V1 HAS C/WITH CAS1, R1 HAS BECOME UNSEATED. R1 HAS PUSHED BIKE AWAY FROM THE SCENE",359343,169627,A
7,171700991,2017/02/08 00:00:00+00,805,3,Slight,J1,Turning Movement from major road,2,1,0,1,0,0,0,"V1 (CAS1) (CYCLE) TRAV W ON PASSAGE ST AT J/WITH QUEEN ST. V2 TRAV W ON PASSAGE ST, V2 HAS MADE A R/TURN INTO QUEEN ST AND C/WITH PASS V1. R1 HAS BECOME UNSEATED",359375,172970,CYC
8,171701110,2017/02/14 00:00:00+00,650,3,Slight,J,Turning movement ¿ unidentified priority,2,1,0,1,0,0,0,"V2 (CAS1) (CYCLE) TRAV N ON ST JOHNS LN R/ABOUT. V1 TRAV NE ON ST JOHNS LN, V1 HAS ENTERED R/ABOUT AND C/WITH PASSING. R2 HAS BECOME UNSEATED",359674,171459,CYC
9,171701164,2017/02/15 00:00:00+00,810,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,V1 (CAS1) (MCYCLE) TRAV SE ON BATH RD AT J/WITH LYNWOOD RD IN BSLN. V2 (LGV) TRAV SE ON BATH RD AT J/WITH LYNWOOD ROAD. V2 HAS MADE A L/TURN INTO LYNWOOD RD AND C/WITH PASSING V1. R1 HAS BECOME UNSEATED. V2 FAILED TO STOP,361579,170924,MCYC
10,171701220,2017/02/18 00:00:00+00,1221,3,Slight,NT,Nose to Tail,2,1,0,0,0,0,1,"V1 (CAS1) (CAS1) TRAV NW ON STATION RD AND J/WITH BROOK RD, V1 HAS BECOME STATIC TO MAKE A R/TURN. V2 TRAV BEHIND HAS C/WITH THE REAR OF STATIC V1",363277,175727,CARS
11,171701332,2017/02/23 00:00:00+00,1240,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,"CAS1 HAS BEEN MID C/WAY ON PEDESTRIAN CROSSING. V1 TRAV W REDCLIFFE WAY, V1 HAS FAILED TO STOP AT PEDESTRIAN CROSSING AND C/WITH CROSSING CAS1. CAS1 HAS BEEN KNOCKED TO THE GROUND. V1 FAILED TO STOP",359111,172368,A
12,171701342,2017/02/05 00:00:00+00,1957,3,Slight,HO,Head On,2,1,0,0,0,0,0,V1 (CAS1) TRAV E ON LYCHFIELD RD AT J/WITH GUILDFORD RD. V2 TRAV W ON LYCHFIELD RD AT J/WITH GUILDFORD RD. V1 AND V2 HAS COLLIDED HEAD ON. OCCUPANTS OF V2 HAVE MADE OFF FRON THE SCENE OF FOOT,362415,172387,CARS
13,171701386,2017/01/11 00:00:00+00,2310,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,"V1 (PIZZA DELIVERY STAFF) TRAV NW ON THE ROCK, V1 HAS APPROACHED A GROUP OF YOUNG ADULTS (CAS1), V1 HAS BEEN APPROACHED BY THE GROUP. D1 HAS SPED AWAY FEARING THE GROUP WERE GOING TO STEAL V1. V1 CLIPPED LEFT ELBOW OF ONE OF THE GROUP. D1 HAS RETURNE",362192,171231,A
14,171701399,2017/02/17 00:00:00+00,720,3,Slight,NT,Nose to Tail,2,1,0,1,0,0,0,"V1 TRAV NE ON NEWFOUNDLAND RD.  V2 (CAS1) (CYCLE) TRAV NE ON NEWFOUNDLAND RD. V2 HAS CROSSED IN FRONT OF V1, V1 HAS C/WITH THE REAR OF V2. D1 HAS APOLOGISED BEFORE LEAVING THE SCENE",359715,173722,CYC
15,171701400,2017/02/22 00:00:00+00,1940,3,Slight,A,Adult pedestrian,1,1,1,0,0,0,0,V1 (CAS1) TRAV E ON GAS LANE AT J/WITH SILVERTHORNE LN.  CAS1 HAS BEEN CROSSING SILVERTHORNE LN AT MOUTH OF JCT WITH GAS LANE. V1 HAS MADE A R/TURN ONTO SILVERTHORNE LN AND C/WITH CROSSING CAS1. CAS1 HAS BEEN KNOCKED TO THE GROUND,360257,172554,A
16,171701405,2017/02/07 00:00:00+00,1500,3,Slight,J1,Turning Movement from major road,2,1,0,0,1,0,0,V1 TRAV E ON CHURCH RD AT J/WITH MORTON ST. V2 (CAS1) (MCYCLE) TRAV W ON CHURCH RD AT J/WITH MORTON ST IS BSLN. V1 HAS MADE A R/TURN AND C/WITH PASSING V2. R2 BECAME UNSEATED.,360906,173366,MCYC
17,171701414,2017/02/07 00:00:00+00,1639,3,Slight,NT,Nose to Tail,4,3,0,0,0,0,0,"V1 (LGV) TRAV SW ON WOOTTON PK AT JUNCTION WITH WELLS RD, V1 HAS BECOME STATIC AT ATL. V2 FOLLOWING BEHIND HAS COME TO A STOP, V3 (CAS1) TRAV BEHIND HAS COME TO A STOP. V4 (CAS2 CAS3) TRAV BEHIND HAS C/WITH THE REAR OF V3 WHICH HAS C/WITH THE REAR OF",360969,170037,CARS
